Year,DOY,Month,Day,Input_AirTemp_max_C,Input_AirTemp_min_C,Input_PPT_mm,Sim_SWE_mm,Sim_Hoh_MJm.2,Sim_Hgt_MJm.2,Sim_Infiltration_mm,Sim_DiffuseRecharge_mm,Sim_ET_mm,Sim_T_mm,Sim_E_mm,Sim_E_Snowloss_mm,Sim_E_Baresoil_mm,Sim_E_InterceptedCanopy_mm,Sim_E_SurfaceWater_mm,Sim_SurfaceTemp_C_min,Sim_SurfaceTemp_C_avg,Sim_SurfaceTemp_C_max,Sim_SoilTemp_C_min_005_cm,Sim_SoilTemp_C_min_010_cm,Sim_SoilTemp_C_min_015_cm,Sim_SoilTemp_C_min_020_cm,Sim_SoilTemp_C_min_025_cm,Sim_SoilTemp_C_min_030_cm,Sim_SoilTemp_C_min_040_cm,Sim_SoilTemp_C_min_050_cm,Sim_SoilTemp_C_min_060_cm,Sim_SoilTemp_C_avg_005_cm,Sim_SoilTemp_C_avg_010_cm,Sim_SoilTemp_C_avg_015_cm,Sim_SoilTemp_C_avg_020_cm,Sim_SoilTemp_C_avg_025_cm,Sim_SoilTemp_C_avg_030_cm,Sim_SoilTemp_C_avg_040_cm,Sim_SoilTemp_C_avg_050_cm,Sim_SoilTemp_C_avg_060_cm,Sim_SoilTemp_C_max_005_cm,Sim_SoilTemp_C_max_010_cm,Sim_SoilTemp_C_max_015_cm,Sim_SoilTemp_C_max_020_cm,Sim_SoilTemp_C_max_025_cm,Sim_SoilTemp_C_max_030_cm,Sim_SoilTemp_C_max_040_cm,Sim_SoilTemp_C_max_050_cm,Sim_SoilTemp_C_max_060_cm,Sim_VWC_000to005_cm,Sim_VWC_005to010_cm,Sim_VWC_010to015_cm,Sim_VWC_015to020_cm,Sim_VWC_020to025_cm,Sim_VWC_025to030_cm,Sim_VWC_030to040_cm,Sim_VWC_040to050_cm,Sim_VWC_050to060_cm,Sim_SWP_MPa_000to005_cm,Sim_SWP_MPa_005to010_cm,Sim_SWP_MPa_010to015_cm,Sim_SWP_MPa_015to020_cm,Sim_SWP_MPa_020to025_cm,Sim_SWP_MPa_025to030_cm,Sim_SWP_MPa_030to040_cm,Sim_SWP_MPa_040to050_cm,Sim_SWP_MPa_050to060_cm,Date,Obs_VWC_5cm,Obs_VWC_10cm,Obs_VWC_30cm,P
2008,1,1,1,-0.85,-12.19,0,0,17.28254987,6.457427394,0,0.014403334,0.210819174,0.109825293,0.100993881,0,0.100993881,0,0,-10.56211331,-8.350985214,-1.17900973,-9.920029517,-6.797522031,-3.675014546,-2.68992482,-1.704835094,-0.719745369,0.096722145,0.799135158,1.074480061,-6.633844572,-4.91670393,-3.199563288,-2.355919471,-1.512275655,-0.668631838,0.117420595,0.801063755,1.075069822,-3.347659627,-3.035885828,-2.724112029,-2.021914122,-1.319716215,-0.617518308,0.138119045,0.802992351,1.075659583,0.105437714,0.081312025,0.122272267,0.122038515,0.122045151,0.122052289,0.122061424,0.122069535,0.122075729,-1.672909143,-1.538380168,-1.497765892,-1.510987436,-1.510610299,-1.510204807,-1.509686041,-1.509225544,-1.508874018,1/1/2008,NA,NA,NA,0
2008,2,1,2,1.77,-6.98,0,0,17.33761548,6.402518738,0,0.01433123,0.253571072,0.132237642,0.12133343,0,0.12133343,0,0,-5.35251842,-4.435535089,1.382656375,-6.231480349,-4.659838212,-3.088196075,-2.456380279,-1.824564483,-1.192748688,-0.398977879,0.317261095,0.744267388,-3.872819535,-3.310103981,-2.747388427,-2.216963521,-1.686538614,-1.156113707,-0.384142832,0.318643222,0.744689993,-1.514158721,-1.960369751,-2.40658078,-1.977546762,-1.548512744,-1.119478726,-0.369307785,0.32002535,0.745112598,0.102496816,0.080790978,0.122255641,0.121803393,0.121816822,0.121832647,0.121852813,0.121870959,0.121884724,-1.899881434,-1.58426725,-1.498702128,-1.524415555,-1.523645072,-1.522737698,-1.521582267,-1.520543457,-1.519755903,1/2/2008,NA,NA,NA,0
2008,3,1,3,5.35,-5.26,0,0,17.39751993,6.360828298,0,0.014247277,0.29157151,0.151917983,0.139653527,0,0.139653527,0,0,-3.632923433,-1.785085074,4.881367768,-4.720169059,-3.398107444,-2.076045828,-1.712064094,-1.34808236,-0.984100626,-0.420723807,0.110808833,0.541337024,-1.738686177,-1.692287279,-1.645888381,-1.409881066,-1.17387375,-0.937866435,-0.40200209,0.112552858,0.541870215,1.242796706,0.013532886,-1.215730934,-1.107698037,-0.99966514,-0.891632243,-0.383280372,0.114296883,0.542403406,0.099238721,0.080201138,0.122183863,0.121529438,0.121549859,0.121575817,0.121608802,0.121638797,0.12166144,-2.191586109,-1.638031303,-1.502751288,-1.540226588,-1.539041857,-1.537537327,-1.535627777,-1.533893588,-1.532585947,1/3/2008,NA,NA,NA,0
2008,4,1,4,6.81,-0.16,0,0,17.46223539,6.308307718,0,0.014151545,0.321148814,0.164048181,0.157100633,0,0.157100633,0,0,1.466671652,1.495364831,6.310023433,-0.671161966,-0.416012873,-0.160863779,-0.179669525,-0.198475271,-0.217281017,-0.018955541,0.201936673,0.528072018,1.024715439,0.554066047,0.083416655,-0.008065182,-0.099547019,-0.191028857,-0.008325491,0.20292678,0.528374672,2.720592844,1.524144967,0.327697089,0.163539161,-0.000618768,-0.164776696,0.002304559,0.203916887,0.528677327,0.095833568,0.079544457,0.122055597,0.121216325,0.121244085,0.121281595,0.121329172,0.121372824,0.121405644,-2.550049641,-1.700252793,-1.510016939,-1.558518006,-1.556886789,-1.554685536,-1.551898451,-1.549346112,-1.54743015,1/4/2008,NA,NA,NA,0
2008,5,1,5,7.7,1.62,0,0,17.53173149,6.284824777,0,0.01404996,0.337877562,0.174041216,0.163836346,0,0.163836346,0,0,3.246266837,2.830814626,7.180581958,0.922745607,0.981834148,1.040922689,0.87129178,0.701660872,0.532029964,0.479657481,0.472740221,0.659787301,2.300210198,1.769605771,1.239001344,1.010438843,0.781876342,0.553313842,0.488275511,0.473542805,0.660032595,3.67767479,2.557377394,1.437079998,1.149585906,0.862091813,0.57459772,0.496893542,0.47434539,0.660277889,0.092338693,0.078847262,0.121891258,0.120883379,0.120918116,0.120967859,0.121030922,0.121089152,0.121132821,-2.986298855,-1.769164002,-1.519382209,-1.578229548,-1.57616031,-1.57320234,-1.569461037,-1.566015087,-1.563436305,1/5/2008,NA,NA,NA,0
2008,6,1,6,8.54,-0.6,1,0,17.60597522,6.294814446,0.303037999,0.013951015,0.686110937,0.170160752,0.515950185,0,0.162618194,0.35333199,0,1.02586212,2.141264311,8.000713525,-0.550903542,0.244354308,1.039612157,0.984862296,0.930112434,0.875362572,0.789055557,0.734054365,0.825818077,1.891183823,1.641103334,1.391022846,1.231719568,1.07241629,0.913113012,0.804340508,0.735477584,0.82625298,4.333271187,3.03785236,1.742433534,1.47857684,1.214720146,0.950863452,0.819625459,0.736900804,0.826687883,0.094889329,0.078210335,0.121724339,0.120559942,0.120599956,0.120661376,0.120739343,0.120811579,0.120865698,-2.660546944,-1.834804404,-1.528959764,-1.597640088,-1.595224568,-1.591524688,-1.586841518,-1.582516128,-1.579283982,1/6/2008,NA,NA,NA,0.98985
2008,7,1,7,4.17,-3.6,10.8,10.39937586,17.68493101,6.350212261,0,0.013867157,0.615884437,0.135177714,0.480706723,0.40062414,0,0.080082584,0,-2,-2,-2,-1.435668564,-0.871337128,-0.307005692,-0.079027515,0.148950661,0.376928837,0.569554508,0.747144402,0.864591191,-1.435668564,-0.871337128,-0.307005692,-0.079027515,0.148950661,0.376928837,0.569554508,0.747144402,0.864591191,-1.435668564,-0.871337128,-0.307005692,-0.079027515,0.148950661,0.376928837,0.569554508,0.747144402,0.864591191,0.094605705,0.077740882,0.121636529,0.120312959,0.120349318,0.120415778,0.120500809,0.120579195,0.12063822,-2.694759157,-1.884896473,-1.534024684,-1.612638553,-1.610420954,-1.606376056,-1.601217079,-1.596477327,-1.592918482,1/7/2008,NA,NA,NA,10.77837
2008,8,1,8,0.46,-6.14,4.7,14.75280617,17.7685607,6.394205797,0,0.013796195,0.465374553,0.111409817,0.353964736,0.346569694,0,0.007395042,0,-2.663459137,-2.663459137,-2.663459137,-2.139243584,-1.615028031,-1.090812478,-0.772410823,-0.454009167,-0.135607512,0.236199593,0.574370167,0.777994615,-2.139243584,-1.615028031,-1.090812478,-0.772410823,-0.454009167,-0.135607512,0.236199593,0.574370167,0.777994615,-2.139243584,-1.615028031,-1.090812478,-0.772410823,-0.454009167,-0.135607512,0.236199593,0.574370167,0.777994615,0.094340369,0.077327938,0.121594593,0.120114933,0.120143616,0.120212547,0.120301644,0.120383165,0.120444942,-2.727204286,-1.930202267,-1.536450049,-1.62477553,-1.623011368,-1.618780354,-1.613329383,-1.608359536,-1.604604535,1/8/2008,NA,NA,NA,4.72929
2008,9,1,9,4.77,-3.56,0,14.34088442,17.85682359,6.351771033,0,0.013711963,0.580951839,0.133032451,0.447919389,0.411921742,0,0.035997647,0,-2,-2,-2,-1.702531908,-1.405063816,-1.107595725,-0.852702757,-0.59780979,-0.342916823,0.043997564,0.405389619,0.664692351,-1.702531908,-1.405063816,-1.107595725,-0.852702757,-0.59780979,-0.342916823,0.043997564,0.405389619,0.664692351,-1.702531908,-1.405063816,-1.107595725,-0.852702757,-0.59780979,-0.342916823,0.043997564,0.405389619,0.664692351,0.094071647,0.076886543,0.121500181,0.119876852,0.119897854,0.119969866,0.120063855,0.120149401,0.120214577,-2.760502347,-1.979956262,-1.541925713,-1.639500272,-1.638195498,-1.633730261,-1.627922347,-1.622655831,-1.618655925,1/9/2008,NA,NA,NA,0
2008,10,1,10,0.25,-5.4,0,13.98383162,17.9496764,6.399941361,0,0.013639002,0.586015842,0.115919289,0.470096553,0.357052806,0,0.026409132,0.086634616,-2.610462351,-2.610462351,-2.610462351,-2.225086429,-1.839710507,-1.454334585,-1.16461712,-0.874899654,-0.585182189,-0.153869425,0.250335172,0.546107096,-2.225086429,-1.839710507,-1.454334585,-1.16461712,-0.874899654,-0.585182189,-0.153869425,0.250335172,0.546107096,-2.225086429,-1.839710507,-1.454334585,-1.16461712,-0.874899654,-0.585182189,-0.153869425,0.250335172,0.546107096,0.093807715,0.076480337,0.121432377,0.119671439,0.119683532,0.119758249,0.119856756,0.119945936,0.120014206,-2.793643304,-2.02699105,-1.545871438,-1.652322246,-1.651564307,-1.646890173,-1.640749855,-1.635212613,-1.630987496,1/10/2008,NA,NA,NA,0
